"index","Date","Open","High","Low","Close"
"226",2001-11-28,1128.52,1149.5,1128.29,1128.52
"227",2001-11-29,1140.2,1140.4,1125.51,1140.2
"228",2001-11-30,1139.45,1143.57,1135.89,1139.45
"229",2001-12-03,1129.9,1139.45,1125.78,1129.9
"230",2001-12-04,1144.8,1144.8,1128.86,1144.8
"231",2001-12-05,1170.35,1173.62,1143.77,1170.35
"232",2001-12-06,1167.1,1173.35,1164.43,1167.1
"233",2001-12-07,1158.31,1167.1,1152.66,1158.31
"234",2001-12-10,1139.93,1158.31,1139.66,1139.93
"235",2001-12-11,1136.76,1150.89,1134.32,1136.76
"236",2001-12-12,1137.07,1141.58,1126.01,1137.07
"237",2001-12-13,1119.38,1137.07,1117.85,1119.38
"238",2001-12-14,1123.09,1128.28,1114.5,1123.09
"239",2001-12-17,1134.36,1137.36,1122.34,1134.36
"240",2001-12-18,1142.92,1145.1,1134.36,1142.92
"241",2001-12-19,1149.56,1152.44,1134.75,1149.56
"242",2001-12-20,1139.93,1151.42,1139.93,1139.93
"243",2001-12-21,1144.89,1147.83,1139.93,1144.89
"244",2001-12-24,1144.65,1147.83,1144.62,1144.65
"245",2001-12-26,1149.37,1159.18,1144.65,1149.37
"246",2001-12-27,1157.13,1157.13,1149.37,1157.13
"247",2001-12-28,1161.02,1164.64,1157.13,1161.02
"248",2001-12-31,1148.08,1161.16,1148.04,1148.08
"249",2002-01-02,1154.67,1154.67,1136.23,1154.67
"250",2002-01-03,1165.27,1165.27,1154.01,1165.27
"251",2002-01-04,1172.51,1176.55,1163.42,1172.51
"252",2002-01-07,1164.89,1176.97,1163.55,1164.89
"253",2002-01-08,1160.71,1167.6,1157.46,1160.71
"254",2002-01-09,1155.14,1174.26,1151.89,1155.14
"255",2002-01-10,1156.55,1159.93,1150.85,1156.55
"256",2002-01-11,1145.6,1159.41,1145.45,1145.6
"257",2002-01-14,1138.41,1145.6,1138.15,1138.41
"258",2002-01-15,1146.19,1148.81,1136.88,1146.19
"259",2002-01-16,1127.57,1146.19,1127.49,1127.57
"260",2002-01-17,1138.88,1139.27,1127.57,1138.88
"261",2002-01-18,1127.58,1138.88,1124.45,1127.58
"262",2002-01-22,1119.31,1135.26,1117.94,1119.31
"263",2002-01-23,1128.18,1131.94,1117.43,1128.18
"264",2002-01-24,1132.15,1139.5,1128.18,1132.15
"265",2002-01-25,1133.28,1138.31,1127.82,1133.28
"266",2002-01-28,1133.06,1138.63,1126.66,1133.06
"267",2002-01-29,1100.64,1137.47,1098.74,1100.64
"268",2002-01-30,1113.57,1113.79,1081.66,1113.57
"269",2002-01-31,1130.2,1130.21,1113.3,1130.2
"270",2002-02-01,1122.2,1130.2,1118.51,1122.2
"271",2002-02-04,1094.44,1122.2,1092.25,1094.44
"272",2002-02-05,1090.02,1100.96,1082.58,1090.02
"273",2002-02-06,1083.51,1093.58,1077.78,1083.51
"274",2002-02-07,1080.17,1094.03,1078.44,1080.17
"275",2002-02-08,1096.22,1096.3,1079.91,1096.22
"276",2002-02-11,1111.94,1112.01,1094.68,1111.94
"277",2002-02-12,1107.5,1112.68,1102.98,1107.5
"278",2002-02-13,1118.51,1120.56,1107.5,1118.51
"279",2002-02-14,1116.48,1124.72,1112.3,1116.48
"280",2002-02-15,1104.18,1117.09,1103.23,1104.18
"281",2002-02-19,1083.34,1104.18,1082.24,1083.34
"282",2002-02-20,1097.98,1098.32,1074.36,1097.98
"283",2002-02-21,1080.95,1101.5,1080.24,1080.95
"284",2002-02-22,1089.84,1093.93,1074.39,1089.84
"285",2002-02-25,1109.43,1112.71,1089.84,1109.43
"286",2002-02-26,1109.38,1115.05,1101.72,1109.38
"287",2002-02-27,1109.89,1123.06,1102.26,1109.89
"288",2002-02-28,1106.73,1121.57,1106.73,1106.73
"289",2002-03-01,1131.78,1131.79,1106.73,1131.78
"290",2002-03-04,1153.84,1153.84,1130.93,1153.84
"291",2002-03-05,1146.14,1157.74,1144.78,1146.14
"292",2002-03-06,1162.77,1165.29,1145.11,1162.77
"293",2002-03-07,1157.54,1167.94,1150.69,1157.54
"294",2002-03-08,1164.31,1172.76,1157.54,1164.31
"295",2002-03-11,1168.26,1173.03,1159.58,1168.26
"296",2002-03-12,1165.58,1168.26,1154.34,1165.58
"297",2002-03-13,1154.09,1165.58,1151.01,1154.09
"298",2002-03-14,1153.04,1157.76,1151.14,1153.04
"299",2002-03-15,1166.16,1166.45,1153.04,1166.16
"300",2002-03-18,1165.55,1172.75,1159.18,1165.55
"301",2002-03-19,1170.29,1173.89,1165.55,1170.29
"302",2002-03-20,1151.85,1170.29,1151.67,1151.85
"303",2002-03-21,1153.59,1155.12,1139.58,1153.59
"304",2002-03-22,1148.7,1156.48,1144.82,1148.7
"305",2002-03-25,1131.87,1150.89,1131.87,1131.87
"306",2002-03-26,1138.49,1146.98,1131.43,1138.49
"307",2002-03-27,1144.58,1146.85,1135.54,1144.58
"308",2002-03-28,1147.39,1154.4,1144.58,1147.39
"309",2002-04-01,1146.54,1147.75,1133.03,1146.54
"310",2002-04-02,1136.76,1146.54,1135.72,1136.76
"311",2002-04-03,1125.4,1138.75,1119.71,1125.4
"312",2002-04-04,1126.34,1130.41,1120.17,1126.34
"313",2002-04-05,1122.73,1133.01,1119.63,1122.73
"314",2002-04-08,1125.29,1125.41,1111.92,1125.29
"315",2002-04-09,1117.8,1128.36,1116.91,1117.8
"316",2002-04-10,1130.46,1131.74,1117.8,1130.46
